Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,T1,T2,T3,Latency(T2-T1),Reaction time(T3-t2),mttf(T3-T1),Iteration_number
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,120,N/A,0,0,187,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,160,N/A,0,0,186,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,187
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,80,N/A,0,0,72,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,73
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,280,N/A,0,0,164,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,165
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,200,row_9,1,0,34,0,0,1,184.0,32.0,N/A,invalid,N/A,N/A,36
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,260,N/A,0,0,187,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,240,N/A,0,0,187,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,160,N/A,0,0,187,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,80,row_3,1,0,186,0,0,1,184.0,50.0,N/A,invalid,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,140,N/A,0,0,186,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,187
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,180,N/A,0,0,183,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,184
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,220,row_37,1,0,32,0,0,1,184.0,33.0,N/A,invalid,N/A,N/A,34
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,320,N/A,0,0,187,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,300,N/A,0,0,186,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,187
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,100,N/A,0,7,180,7,0,0,184.0,N/A,68.0,N/A,N/A,invalid,188
7,8,if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,120,N/A,0,0,69,0,0,0,184.0,N/A,N/A,N/A,N/A,N/A,70
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,200,row_37||row_37||row_37||row_37||row_37||row_37,6,0,33,0,0,6,137.0,26.0,N/A,invalid,N/A,N/A,40
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,280,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,159,0,0,9,137.0,27.0,N/A,invalid,N/A,N/A,169
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,320,row_37,1,0,16,0,0,1,137.0,17.0,N/A,invalid,N/A,N/A,18
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,240,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,69,0,0,9,137.0,25.0,N/A,invalid,N/A,N/A,79
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,180,row_37||row_37||row_37||row_37||row_37||row_37,6,0,130,0,0,6,137.0,24.0,N/A,invalid,N/A,N/A,137
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,260,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,186,0,0,9,137.0,27.0,N/A,invalid,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,100,N/A,0,0,19,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,20
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,220,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,8,0,34,0,0,8,137.0,25.0,N/A,invalid,N/A,N/A,43
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,140,N/A,0,0,195,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,300,N/A,0,0,15,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,16
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,120,row_33,1,0,18,0,0,1,137.0,5.0,N/A,invalid,N/A,N/A,20
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,160,row_31,1,0,194,0,0,1,137.0,104.0,N/A,invalid,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,80,N/A,0,0,149,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,150
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,280,N/A,0,0,140,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,141
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,200,N/A,0,0,195,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,260,N/A,0,0,195,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,240,N/A,0,0,194,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,195
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,160,N/A,0,0,147,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,148
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,80,row_34,1,0,42,0,0,1,137.0,43.0,N/A,invalid,N/A,N/A,44
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,140,N/A,0,0,195,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,180,N/A,0,0,195,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,220,N/A,0,0,166,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,167
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,320,N/A,0,0,195,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,196
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,300,N/A,0,0,194,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,195
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,100,row_37,1,0,42,0,0,1,137.0,43.0,N/A,invalid,N/A,N/A,44
7,7,if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,120,N/A,0,0,195,0,0,0,137.0,N/A,N/A,N/A,N/A,N/A,196
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,200,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,8,0,129,0,0,8,150.0,24.0,N/A,invalid,N/A,N/A,138
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,280,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,8,0,187,0,0,8,150.0,28.0,N/A,invalid,N/A,N/A,196
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,320,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,8,0,137,0,0,8,150.0,30.0,N/A,invalid,N/A,N/A,146
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,240,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,187,0,0,9,150.0,25.0,N/A,invalid,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,180,row_37||row_37||row_37||row_37||row_37||row_37,6,0,190,0,0,6,150.0,24.0,N/A,invalid,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,260,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,58,0,0,9,150.0,27.0,N/A,invalid,N/A,N/A,68
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,100,row_31,1,0,194,0,0,1,150.0,36.0,N/A,invalid,N/A,N/A,196
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,220,row_37||row_37||row_37||row_37||row_37||row_37||row_37,7,0,189,0,0,7,150.0,26.0,N/A,invalid,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,140,N/A,0,0,82,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,83
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,300,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,9,0,187,0,0,9,150.0,29.0,N/A,invalid,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,120,N/A,0,0,196,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,160,N/A,0,0,195,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,196
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,80,N/A,0,0,167,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,168
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,280,N/A,0,0,132,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,133
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,200,N/A,0,0,196,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,260,N/A,0,0,196,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,240,N/A,0,0,195,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,196
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,160,N/A,0,0,95,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,96
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,80,N/A,0,0,196,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,140,N/A,0,0,196,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,180,N/A,0,0,195,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,196
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,220,N/A,0,0,82,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,83
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,320,N/A,0,0,196,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,197
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,300,N/A,0,0,195,0,0,0,150.0,N/A,N/A,N/A,N/A,N/A,196
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,100,row_30,1,0,92,0,0,1,150.0,38.0,N/A,invalid,N/A,N/A,94
7,5,if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,120,row_1,1,0,194,0,0,1,150.0,4.0,N/A,invalid,N/A,N/A,196
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,200,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_1,8,0,191,0,0,8,47.0,25.0,N/A,invalid,N/A,N/A,200
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,280,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_1||row_1,11,0,92,0,0,11,47.0,27.0,N/A,invalid,N/A,N/A,104
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,320,N/A,0,0,13,0,0,0,47.0,N/A,N/A,N/A,N/A,N/A,14
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,240,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_1||row_1||row_1||row_1||row_5,13,0,185,0,0,13,47.0,26.0,N/A,invalid,N/A,N/A,199
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,180,row_37||row_37||row_37||row_37||row_37||row_1||row_4||row_4,8,0,190,0,0,8,47.0,25.0,N/A,invalid,N/A,N/A,199
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,260,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_1||row_1||row_1,12,0,187,0,0,12,47.0,27.0,N/A,invalid,N/A,N/A,200
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,100,N/A,0,0,197,0,0,0,47.0,N/A,N/A,N/A,N/A,N/A,198
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,220,row_37||row_37||row_37||row_37||row_37||row_37||row_37||row_37,8,0,75,0,0,8,47.0,25.0,N/A,invalid,N/A,N/A,84
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,140,row_31,1,0,198,0,0,1,47.0,180.0,N/A,133.0,N/A,N/A,200
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,300,N/A,0,0,15,0,0,0,47.0,N/A,N/A,N/A,N/A,N/A,16
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,120,N/A,0,0,198,0,0,0,47.0,N/A,N/A,N/A,N/A,N/A,199
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,160,row_37,1,0,136,0,0,1,47.0,25.0,N/A,invalid,N/A,N/A,138
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientH,80,N/A,0,0,199,0,0,0,47.0,N/A,N/A,N/A,N/A,N/A,200
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,280,row_37||row_37||row_37,3,0,196,0,0,3,47.0,47.0,N/A,0.0,N/A,N/A,200
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,200,row_37||row_37||row_37,3,0,196,0,0,3,47.0,47.0,N/A,0.0,N/A,N/A,200
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,260,row_37||row_37||row_37,3,0,195,0,0,3,47.0,46.0,N/A,invalid,N/A,N/A,199
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,240,row_37||row_37||row_37,3,0,105,0,0,3,47.0,47.0,N/A,0.0,N/A,N/A,109
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,160,N/A,0,0,43,0,0,0,47.0,N/A,N/A,N/A,N/A,N/A,44
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,80,row_37||row_37||row_1||row_1||row_3,5,0,114,0,0,5,47.0,48.0,N/A,1.0,N/A,N/A,120
7,1,if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0',patientA,140,row_37||row_37||row_37,3,0,158,0,0,3,47.0,47.0,N/A,0.0,N/A,N/A,162
